epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,29195.1,1.20749,1.89139,0.82769,0.99675,0.81984,0.74499,0.81335,0.5702,0.79037,0.69158,0.74709,0.41729,1.04284,1.6411,0.69939,0.92162,0.0089704,0.0089704,0.0089704
106,29461.1,1.20331,1.88929,0.8244,0.99285,0.82363,0.74287,0.81354,0.57052,0.78882,0.69172,0.74687,0.41734,1.04253,1.6407,0.69881,0.92152,0.0089605,0.0089605,0.0089605
107,29728.4,1.19931,1.88387,0.82002,0.99207,0.81837,0.74729,0.81396,0.57112,0.78718,0.69257,0.74723,0.41829,1.04175,1.63933,0.69826,0.92121,0.0089506,0.0089506,0.0089506
108,29995.9,1.19642,1.88128,0.82017,0.99248,0.82186,0.74538,0.81457,0.57187,0.78917,0.69203,0.7473,0.41801,1.04143,1.63829,0.69829,0.92084,0.0089407,0.0089407,0.0089407
109,30263.9,1.19593,1.87907,0.82266,0.99386,0.8187,0.74898,0.81503,0.57194,0.80139,0.68683,0.7476,0.41815,1.04065,1.63764,0.69781,0.92072,0.0089308,0.0089308,0.0089308
110,30533.1,1.19961,1.88267,0.82205,0.99327,0.81991,0.7467,0.81476,0.57212,0.79711,0.68893,0.7477,0.41846,1.04006,1.6369,0.69754,0.92056,0.0089209,0.0089209,0.0089209
111,30800.6,1.19876,1.88364,0.82483,0.99463,0.81976,0.74776,0.81507,0.57299,0.80066,0.68749,0.7482,0.41867,1.03935,1.63628,0.69763,0.9203,0.008911,0.008911,0.008911
112,31066.2,1.19718,1.88002,0.82385,0.99294,0.82162,0.74743,0.81629,0.57318,0.80093,0.68751,0.74844,0.41894,1.03875,1.63435,0.6971,0.92005,0.0089011,0.0089011,0.0089011
113,31332.1,1.19568,1.86773,0.81469,0.98952,0.82306,0.74548,0.81575,0.57283,0.80282,0.68742,0.74888,0.41929,1.03782,1.63277,0.69666,0.91988,0.0088912,0.0088912,0.0088912
114,31596,1.1924,1.86799,0.81511,0.99203,0.82206,0.74708,0.81656,0.57306,0.79715,0.68995,0.74881,0.41981,1.03777,1.63105,0.69606,0.91981,0.0088813,0.0088813,0.0088813
115,31861.6,1.19707,1.87204,0.81955,0.99338,0.82229,0.74866,0.81707,0.57348,0.79813,0.68971,0.74917,0.42005,1.03706,1.63048,0.69585,0.91964,0.0088714,0.0088714,0.0088714
116,32127.3,1.19447,1.87063,0.81622,0.99255,0.82214,0.74979,0.81749,0.57381,0.79773,0.69096,0.74986,0.42056,1.03648,1.62982,0.69528,0.91931,0.0088615,0.0088615,0.0088615
117,32395,1.19233,1.86489,0.81673,0.9915,0.81819,0.75224,0.81699,0.57448,0.80167,0.68901,0.74952,0.42103,1.03594,1.62914,0.69472,0.9193,0.0088516,0.0088516,0.0088516
118,32662.6,1.19251,1.87082,0.81594,0.99164,0.81863,0.75266,0.8171,0.57498,0.80044,0.69021,0.75013,0.42083,1.03538,1.62885,0.69455,0.91922,0.0088417,0.0088417,0.0088417
119,32931.6,1.1923,1.86674,0.81495,0.99027,0.8205,0.75141,0.81725,0.57509,0.79882,0.69134,0.75068,0.42154,1.03498,1.62777,0.6935,0.91898,0.0088318,0.0088318,0.0088318
120,33199,1.19061,1.86971,0.81202,0.98915,0.82085,0.75195,0.81798,0.57555,0.79682,0.69243,0.75077,0.4218,1.03428,1.62717,0.69296,0.91878,0.0088219,0.0088219,0.0088219
